"FIPS","Population","HS","BAorHigher","Owner_Occupied","Uninsured","Poverty","MetroArea","Unemployment","HHIncome_med","HHInc_PercStateTotal","Rural_Urban","UrbanInfCode","EconType","Male","WhiteAlone","BlackAlone","AsianAlone","Hispanic","Multiple"
40000,"3943079",31.3,25.2,NA,NA,15.5,NA,3.4,"51914 ",100,NA,NA,NA,NA,NA,NA,NA,NA,NA
40001,"22082",45.6,11.6,NA,NA,24.6,"No",4.2,"35156 ",67.7,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","6 - Noncore (adjacent to small metro, with a town of ≥ 2,500)","Manufacturing",NA,NA,NA,NA,NA,NA
40003,"5754",39.1,20.2,NA,NA,15.2,"No",2.2,"52952 ",102,"9 - Nonmetro (rural or < 2,500 urban pop., not adjacent to metro)","10 - Noncore (adjacent to micro area, with no town of ≥ 2,500)","Farming",NA,NA,NA,NA,NA,NA
40005,"13838",40.6,15,NA,NA,20.8,"No",4.1,"39702 ",76.5,"9 - Nonmetro (rural or < 2,500 urban pop., not adjacent to metro)","9 - Noncore (adjacent to micro area, with a town of 2,500 to 19,999)","Farming",NA,NA,NA,NA,NA,NA
40007,"5319",36,19.7,NA,NA,11.2,"No",2,"52550 ",101.2,"9 - Nonmetro (rural or < 2,500 urban pop., not adjacent to metro)","10 - Noncore (adjacent to micro area, with no town of ≥ 2,500)","Farming",NA,NA,NA,NA,NA,NA
40009,"21709",38.4,17.3,NA,NA,16.3,"No",2.6,"47825 ",92.1,"7 - Nonmetro (2,500 to 19,999 urban pop., not adjacent to metro)","8 - Micropolitan (not adjacent to metro area)","Mining",NA,NA,NA,NA,NA,NA
40011,"9485",34.5,16.6,NA,NA,16,"No",2,"49513 ",95.4,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","4 - Noncore (adjacent to large metro area)","Mining",NA,NA,NA,NA,NA,NA
40013,"47192",32,22.8,NA,NA,16.6,"No",3.1,"43445 ",83.7,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","5 - Micropolitan (adjacent to small metro area)","Nonspecialized",NA,NA,NA,NA,NA,NA
40015,"28977",39.9,16.3,NA,NA,19.5,"No",3.6,"48533 ",93.5,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","4 - Noncore (adjacent to large metro area)","Nonspecialized",NA,NA,NA,NA,NA,NA
40017,"144447",29.5,26.8,73.805060918463,NA,7.3,"Yes",2.8,"70942 ",136.7,"1 - Metro (1 million+ urban pop.)","1 - Large (metro, 1 million+ residents)","Nonspecialized",NA,NA,NA,NA,NA,NA
40019,"48177",36.4,20.6,NA,NA,17.7,"No",3.5,"48660 ",93.7,"5 - Nonmetro (20,000+ urban pop., not adjacent to metro)","8 - Micropolitan (not adjacent to metro area)","Mining",NA,NA,NA,NA,NA,NA
40021,"48675",31.4,25,NA,NA,21,"No",4.2,"42913 ",82.7,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","5 - Micropolitan (adjacent to small metro area)","Nonspecialized",NA,NA,NA,NA,NA,NA
40023,"14668",39.4,12.3,NA,NA,23,"No",5,"35308 ",68,"7 - Nonmetro (2,500 to 19,999 urban pop., not adjacent to metro)","9 - Noncore (adjacent to micro area, with a town of 2,500 to 19,999)","Nonspecialized",NA,NA,NA,NA,NA,NA
40025,"2153",37.1,22.6,NA,NA,16.4,"No",1.9,"46777 ",90.1,"9 - Nonmetro (rural or < 2,500 urban pop., not adjacent to metro)","10 - Noncore (adjacent to micro area, with no town of ≥ 2,500)","Farming",NA,NA,NA,NA,NA,NA
40027,"281669",25.6,32.5,62.1606334841629,NA,11.9,"Yes",2.9,"62343 ",120.1,"1 - Metro (1 million+ urban pop.)","1 - Large (metro, 1 million+ residents)","Government",NA,NA,NA,NA,NA,NA
